listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,scrape_date,source_url
58rg10m-1.0bed,2310 Harriet Ave S,"2310-2312 Harriet Ave, Minneapolis, MN 55405",2310-2312 Harriet Ave,Minneapolis,MN,55405,44.9582264,-93.2854936,4.24,,1.0,1.0,575,"$1,130",1130.0,1130.0,per_unit,False,,,,,,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:54:14.820877,https://www.apartments.com/2310-harriet-ave-s-minneapolis-mn/58rg10m/
0ekbjl2-1.0bed,Rex 26 Apartments,"2621 Lyndale Ave S, Minneapolis, MN 55408
Property Website",2621 Lyndale Ave S,Minneapolis,MN,55408,44.9550942,-93.2879277,4.56,,1.0,1.0,932,"$2,116",2116.0,2116.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,2025-11-26T20:54:27.514258,https://www.apartments.com/rex-26-apartments-minneapolis-mn/0ekbjl2/
0ekbjl2-2.0bed,Rex 26 Apartments,"2621 Lyndale Ave S, Minneapolis, MN 55408
Property Website",2621 Lyndale Ave S,Minneapolis,MN,55408,44.9550942,-93.2879277,4.56,,2.0,2.0,1352,"$3,415",3415.0,3415.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,2025-11-26T20:54:27.542590,https://www.apartments.com/rex-26-apartments-minneapolis-mn/0ekbjl2/
m800mel-1.0bed,Marie Antoinette,"26 W 22nd St, Minneapolis, MN 55404",26 W 22nd St,Minneapolis,MN,55404,44.9611347,-93.279105,3.65,,1.0,1.0,621,"$1,015",1015.0,1015.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:54:49.874504,https://www.apartments.com/marie-antoinette-minneapolis-mn/m800mel/
4ernnhk-1.0bed,Uptown Plaza,"2300 Pleasant Ave, Minneapolis, MN 55404
Property Website",2300 Pleasant Ave,Minneapolis,MN,55404,44.9596094,-93.2832798,4.02,,1.0,1.0,700,$975,975.0,975.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,2025-11-26T20:55:00.862439,https://www.apartments.com/uptown-plaza-minneapolis-mn/4ernnhk/
gf06r7y-0bed,"Lakesbury Apartments | Leasing Studio, Alcove, & 1-Bedroom Apartments!","127 W Lake St, Minneapolis, MN 55408
Property Website",127 W Lake St,Minneapolis,MN,55408,44.9482738,-93.2802213,4.45,,0.0,1.0,435,$755,755.0,755.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,2025-11-26T20:55:11.710969,https://www.apartments.com/lakesbury-apartments-leasing-studio-alcove-1-bedroom-apartments-minneapolis-mn/gf06r7y/
wsy2tyl-0bed,Garfield Ave Apartments | 2323,"2323 Garfield Ave S, Minneapolis, MN 55405",2323 Garfield Ave S,Minneapolis,MN,55405,44.9593054,-93.2864875,4.27,,0.0,1.0,284,$825,825.0,825.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:55:33.624723,https://www.apartments.com/garfield-ave-apartments-2323-minneapolis-mn/wsy2tyl/
3mkyhfe-1.0bed,Greenway Apartments,"2716 Blaisdell Ave, Minneapolis, MN 55408
Property Website",2716 Blaisdell Ave,Minneapolis,MN,55408,44.9531321,-93.2800906,4.13,,1.0,1.0,564,"$1,050",1050.0,1050.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:55:44.616776,https://www.apartments.com/greenway-apartments-minneapolis-mn/3mkyhfe/
3mkyhfe-0bed,Greenway Apartments,"2716 Blaisdell Ave, Minneapolis, MN 55408
Property Website",2716 Blaisdell Ave,Minneapolis,MN,55408,44.9531321,-93.2800906,4.13,,0.0,1.0,266,$895,895.0,895.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:55:44.612773,https://www.apartments.com/greenway-apartments-minneapolis-mn/3mkyhfe/
b2rntlb-1.0bed,Fair Oaks Apartment Homes,"2421 3rd Ave S, Minneapolis, MN 55404
Property Website",2421 3rd Ave S,Minneapolis,MN,55404,44.9587525,-93.272635,3.3,,1.0,1.0,735,"$1,290",1290.0,1290.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,2025-11-26T20:55:55.538151,https://www.apartments.com/fair-oaks-apartment-homes-minneapolis-mn/b2rntlb/
